,image_link,product_name,link,price,description,domain
479,https://www1.assets-gap.com/webcontent/0016/596/011/cn16596011.jpg,Stretch-Cotton Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=447218002&cid=51420&pcid=5032,79.5,"Made with specially engineered, super-elastic fibers, this soft, luxurious cotton blend sweater has remarkable stretch to keep  comfortable and retain its shape.",Banana Republic
480,https://www2.assets-gap.com/webcontent/0016/716/438/cn16716438.jpg,Stretch-Cotton Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=447218012&cid=51420&pcid=5032,89.5,"Made with specially engineered, super-elastic fibers, this soft, luxurious cotton blend sweater has remarkable stretch to keep  comfortable and retain its shape.",Banana Republic
481,https://www4.assets-gap.com/webcontent/0016/626/091/cn16626091.jpg,Cashmere Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425362002&cid=51420&pcid=5032,189.0,"A varsity-inspired take on the classic boyfriend-fit cardigan, this undeniably luxe, super soft cashmere sweater has contrast color accents at the front for a sporty look and feel.",Banana Republic
482,https://www2.assets-gap.com/webcontent/0016/626/287/cn16626287.jpg,Cashmere Boyfriend Cardigan Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425362012&cid=51420&pcid=5032,189.0,"A varsity-inspired take on the classic boyfriend-fit cardigan, this undeniably luxe, super soft cashmere sweater has contrast color accents at the front for a sporty look and feel.",Banana Republic
483,https://www2.assets-gap.com/webcontent/0016/385/918/cn16385918.jpg,Washable Merino Long Cardigan,https://bananarepublic.gap.com//browse/product.do?pid=425324002&cid=51420&pcid=5032,119.0,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
484,https://www2.assets-gap.com/webcontent/0016/385/938/cn16385938.jpg,Washable Merino Long Cardigan,https://bananarepublic.gap.com//browse/product.do?pid=425324022&cid=51420&pcid=5032,119.0,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
485,https://www2.assets-gap.com/webcontent/0016/385/928/cn16385928.jpg,Washable Merino Long Cardigan,https://bananarepublic.gap.com//browse/product.do?pid=425324032&cid=51420&pcid=5032,119.0,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
486,https://www3.assets-gap.com/webcontent/0016/315/328/cn16315328.jpg,Chunky Ribbed Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425290022&cid=77996&pcid=5032,89.5,"Soft, breathable, durable, this chunky cotton-blend sweater has a mix of intricate ribbed and pointelle stitch details for a luxe, textured look.",Banana Republic
487,https://www4.assets-gap.com/webcontent/0016/330/459/cn16330459.jpg,Washable Merino Stripe Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425340012&cid=77996&pcid=5032,79.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
488,https://www3.assets-gap.com/webcontent/0016/330/471/cn16330471.jpg,Washable Merino Stripe Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425340002&cid=77996&pcid=5032,79.5,"A refined and exceptionally soft yarn, our Merino wool is rich in color and spun in the perfect weight for year round wear. Plus, it's also machine washable for easy-care convenience.",Banana Republic
