link,product_name,price,image_link,brand
http://us.topshop.com/en/tsus/product/clothing-70483/tall-d-ring-pinafore-dress-8573540,TALL D-Ring Pinafore Dress,$68.00,https://images.topshop.com/i/TopShop/TS30D15QMDT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/bikini-by-calvin-klein-8573199?bundle=true,Bikini Set by Calvin Klein,$165.00,https://images.topshop.com/i/TopShop/BUNDLE_03X05QBLK03X08QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/raglan-tee-by-calin-klein-8280222,Raglan T-Shirt by Calvin Klein,$85.00,https://images.topshop.com/i/TopShop/TS12C14QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallrib-racer-vest-8424765,TALL Ribbed Racer Vest,$18.00,https://images.topshop.com/i/TopShop/TS30G26QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/lucky-picot-vest-8491424,Lucky Picot Vest,$22.00,https://images.topshop.com/i/TopShop/TS04M20QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-tilda-ring-cami-8437513,TALL Ring Detail Cami,$35.00,https://images.topshop.com/i/TopShop/TS30B06QSTN_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/pink-spot-bias-camisole-top-8574713,Pink Spot Bias Camisole Top,$35.00,https://images.topshop.com/i/TopShop/TS13A17QPNK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/calvin-klein-plunge-bralet-8543515,Plunge Bralet Top by Calvin Klein,$95.00,https://images.topshop.com/i/TopShop/TS03X05QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/wool-rich-tailored-wrap-shirt-by-boutique-8568507,**Wool Rich Tailored Wrap Shirt By Boutique,$140.00,https://images.topshop.com/i/TopShop/TS25T21QGRY_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/gold-glitter-tanga-bikini-pant-8529637,Gold Glitter Tanga Bikini Bottoms,$26.00,https://images.topshop.com/i/TopShop/TS03L31QGLD_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/mid-blue-side-buckle-jamie-8463339,Mid Blue Side Buckle Jamie Jeans,$125.00,https://images.topshop.com/i/TopShop/TS02K60QMDT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/red-zip-racer-crop-top-8573365,Red Zip Racer Crop Top,$20.00,https://images.topshop.com/i/TopShop/TS09J01QRED_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ultimate-cream-trench-coat-8572661,Ultimate Cream Trench Coat,$190.00,https://images.topshop.com/i/TopShop/TS07X07QCRM_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/hexagon-trim-peg-8517370,Hexagon Trim Peg Trousers,$90.00,https://images.topshop.com/i/TopShop/TS36D01QLIL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/hazel-flat-sandal-8560435,HAZEL Flat Sandals,$45.00,https://images.topshop.com/i/TopShop/TS42H14QYLW_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tallwaffle-notch-top-8438146,TALL Waffle Notch Top,$14.00,https://images.topshop.com/i/TopShop/TS30G15QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/cropped-western-leather-jacket-8568272,Cropped Western Leather Jacket,$320.00,https://images.topshop.com/i/TopShop/TS11C10QECR_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-premium-denim-mom-shorts-8545318,TALL Premium Denim Mom Shorts,$60.00,https://images.topshop.com/i/TopShop/TS30S07QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/colour-block-hoody-by-adidas-8374442,Colour Block Hoodie by adidas,$115.00,https://images.topshop.com/i/TopShop/TS12A38QMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ectbgingham-jacket-8557256,Gingham Jacket,$95.00,https://images.topshop.com/i/TopShop/TS17X11QMON_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/cuffed-utility-trouser-8560354,Pink Cuffed Utility Trousers,$75.00,https://images.topshop.com/i/TopShop/TS16K07QPNK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/palm-print-box-pleat-midi-8519772,Palm Print Box Pleat Midi Skirt,$75.00,https://images.topshop.com/i/TopShop/TS27N37QPNK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/fisherman-gilet-8560322,Black Fisherman Gilet,$75.00,https://images.topshop.com/i/TopShop/TS11R53NBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/disco-body-8528337,Gold Disco Bodysuit,$30.00,https://images.topshop.com/i/TopShop/TS04B02PGLD_M_1.jpg?$Large$,TopShop
