,image_link,product_name,link,price,domain
64,https://www3.assets-gap.com/webcontent/0016/774/955/cn16774955.jpg,Floral Ruffle Wrap Racerback Dress,https://bananarepublic.gap.com/browse/product.do?pid=426680002&cid=1130704&pcid=69883,119.0,Banana Republic
65,https://www4.assets-gap.com/webcontent/0016/655/598/cn16655598.jpg,Sweater Hoodie,https://bananarepublic.gap.com/browse/product.do?pid=425166092&cid=1130713&pcid=5032,89.5,Banana Republic
66,https://www3.assets-gap.com/webcontent/0016/624/957/cn16624957.jpg,Avery Straight-Fit Heathered Ankle Pant,https://bananarepublic.gap.com/browse/product.do?pid=453586002&cid=1130708&pcid=67595,89.5,Banana Republic
67,https://www1.assets-gap.com/webcontent/0016/742/282/cn16742282.jpg,Floral V-Neck Top,https://bananarepublic.gap.com/browse/product.do?pid=425161022&cid=1129167&pcid=1128985,79.5,Banana Republic
68,https://www4.assets-gap.com/webcontent/0016/700/976/cn16700976.jpg,Avery Straight-Fit Linen-Cotton Pant,https://bananarepublic.gap.com/browse/product.do?pid=425184012&cid=1129167&pcid=1128985,98.5,Banana Republic
69,https://www2.assets-gap.com/webcontent/0016/673/441/cn16673441.jpg,Avery Straight-Fit Linen-Cotton Pant,https://bananarepublic.gap.com/browse/product.do?pid=798019012&cid=1130708&pcid=67595,98.5,Banana Republic
70,https://www2.assets-gap.com/webcontent/0016/873/940/cn16873940.jpg,High-Rise Skinny Cropped Jean,https://bananarepublic.gap.com/browse/product.do?pid=425422002&cid=1128989&pcid=1128985,98.5,Banana Republic
71,https://www3.assets-gap.com/webcontent/0016/781/533/cn16781533.jpg,Brilliant Gemstone Stud Earrings,https://bananarepublic.gap.com/browse/product.do?pid=425440012&cid=1128989&pcid=1128985,38.0,Banana Republic
72,https://www4.assets-gap.com/webcontent/0016/322/527/cn16322527.jpg,Washable Merino Cropped Cardigan Sweater,https://bananarepublic.gap.com/browse/product.do?pid=358496022&cid=1130713&pcid=5032,79.5,Banana Republic
73,https://www1.assets-gap.com/webcontent/0016/491/392/cn16491392.jpg,Stretch-Cotton Cardigan Sweater,https://bananarepublic.gap.com/browse/product.do?pid=425166012&cid=1130713&pcid=5032,79.5,Banana Republic
74,https://www2.assets-gap.com/webcontent/0016/755/764/cn16755764.jpg,Poet-Sleeve Top,https://bananarepublic.gap.com/browse/product.do?pid=425166092&cid=1129167&pcid=1128985,79.5,Banana Republic
75,https://www2.assets-gap.com/webcontent/0016/728/135/cn16728135.jpg,Avery Straight-Fit Linen-Cotton Pant,https://bananarepublic.gap.com/browse/product.do?pid=267900002&cid=1130708&pcid=67595,98.5,Banana Republic
76,https://www4.assets-gap.com/webcontent/0016/699/638/cn16699638.jpg,Baby Terry Lightweight Cardigan,https://bananarepublic.gap.com/browse/product.do?pid=426266002&cid=1128991&pcid=1128985,69.5,Banana Republic
77,https://www2.assets-gap.com/webcontent/0016/667/104/cn16667104.jpg,Silk Cotton Graphic Sweater,https://bananarepublic.gap.com/browse/product.do?pid=445686012&cid=1128992&pcid=1128985,79.5,Banana Republic
78,https://www3.assets-gap.com/webcontent/0016/781/660/cn16781660.jpg,Brilliant Gemstone Stud Earrings,https://bananarepublic.gap.com/browse/product.do?pid=425450002&cid=1128989&pcid=1128985,38.0,Banana Republic
79,https://www4.assets-gap.com/webcontent/0015/652/666/cn15652666.jpg,Devon Legging-Fit Washable Heathered Bi-Stretch Ankle Pant,https://bananarepublic.gap.com/browse/product.do?pid=425426002&cid=1128989&pcid=1128985,89.5,Banana Republic
80,https://www4.assets-gap.com/webcontent/0016/502/497/cn16502497.jpg,Luxespun Long Lightweight Cardigan,https://bananarepublic.gap.com/browse/product.do?pid=425166102&cid=1130713&pcid=5032,69.5,Banana Republic
81,https://www4.assets-gap.com/webcontent/0015/647/573/cn15647573.jpg,Logan Trouser-Fit Washable Bi-Stretch Pant,https://bananarepublic.gap.com/browse/product.do?pid=425598012&cid=1130708&pcid=67595,98.5,Banana Republic
82,https://www1.assets-gap.com/webcontent/0015/652/656/cn15652656.jpg,Blake Wide Leg-Fit Washable Bi-Stretch Pant,https://bananarepublic.gap.com/browse/product.do?pid=445689002&cid=1130708&pcid=67595,89.5,Banana Republic
83,https://www4.assets-gap.com/webcontent/0015/652/666/cn15652666.jpg,Devon Legging-Fit Washable Heathered Bi-Stretch Ankle Pant,https://bananarepublic.gap.com/browse/product.do?pid=425689002&cid=1130708&pcid=67595,89.5,Banana Republic
84,https://www4.assets-gap.com/webcontent/0016/293/078/cn16293078.jpg,Sloan Skinny-Fit Chambray Pant,https://bananarepublic.gap.com/browse/product.do?pid=183602222&cid=1130708&pcid=67595,89.5,Banana Republic
85,https://www2.assets-gap.com/webcontent/0016/860/714/cn16860714.jpg,TENCEL™ Trench Dress,https://bananarepublic.gap.com/browse/product.do?pid=426269002&cid=1130704&pcid=69883,139.0,Banana Republic
86,https://www1.assets-gap.com/webcontent/0015/647/523/cn15647523.jpg,Logan Trouser-Fit Lightweight Wool Pant,https://bananarepublic.gap.com/browse/product.do?pid=425986032&cid=1129167&pcid=1128985,120.0,Banana Republic
87,https://www2.assets-gap.com/webcontent/0016/629/711/cn16629711.jpg,Stretch-Cotton Cardigan Sweater,https://bananarepublic.gap.com/browse/product.do?pid=425195002&cid=1130713&pcid=5032,69.5,Banana Republic
88,https://www3.assets-gap.com/webcontent/0015/823/048/cn15823048.jpg,Ryan Slim Straight-Fit Washable Italian Wool-Blend Pant,https://bananarepublic.gap.com/browse/product.do?pid=453585002&cid=1130708&pcid=67595,98.5,Banana Republic
89,https://www1.assets-gap.com/webcontent/0016/861/155/cn16861155.jpg,Floral Pin-Tuck Midi Dress,https://bananarepublic.gap.com/browse/product.do?pid=426247012&cid=97865&pcid=69883,119.0,Banana Republic
90,https://www3.assets-gap.com/webcontent/0015/647/600/cn15647600.jpg,Ryan Slim Straight-Fit Washable Bi-Stretch Pant,https://bananarepublic.gap.com/browse/product.do?pid=453585012&cid=1130708&pcid=67595,98.5,Banana Republic
91,https://www3.assets-gap.com/webcontent/0016/351/742/cn16351742.jpg,Logan Trouser-Fit Washable Wool Blend Pant,https://bananarepublic.gap.com/browse/product.do?pid=425986022&cid=1129167&pcid=1128985,119.0,Banana Republic
92,https://www3.assets-gap.com/webcontent/0016/874/059/cn16874059.jpg,Avery Straight-Fit Linen-Cotton Pant,https://bananarepublic.gap.com/browse/product.do?pid=874765002&cid=1130708&pcid=67595,98.5,Banana Republic
93,https://www4.assets-gap.com/webcontent/0016/698/858/cn16698858.jpg,Cropped V-Neck Jumpsuit,https://bananarepublic.gap.com/browse/product.do?pid=426359002&cid=1128991&pcid=1128985,139.0,Banana Republic
94,https://www4.assets-gap.com/webcontent/0016/596/423/cn16596423.jpg,Logan Trouser-Fit Birdseye Pant,https://bananarepublic.gap.com/browse/product.do?pid=425182002&cid=1129167&pcid=1128985,110.0,Banana Republic
95,https://www2.assets-gap.com/webcontent/0016/637/945/cn16637945.jpg,Disc Pendant Necklace,https://bananarepublic.gap.com/browse/product.do?pid=425539012&cid=1128989&pcid=1128985,28.0,Banana Republic
96,https://www4.assets-gap.com/webcontent/0016/754/099/cn16754099.jpg,Floral Ruffle Wrap Racerback Dress,https://bananarepublic.gap.com/browse/product.do?pid=426278032&cid=1130704&pcid=69883,139.0,Banana Republic
97,https://www3.assets-gap.com/webcontent/0016/731/061/cn16731061.jpg,Chevron Pleated Midi Dress,https://bananarepublic.gap.com/browse/product.do?pid=426266002&cid=1130704&pcid=69883,139.0,Banana Republic
98,https://www2.assets-gap.com/webcontent/0016/851/737/cn16851737.jpg,Ponte Fit-and-Flare Dress,https://bananarepublic.gap.com/browse/product.do?pid=426391002&cid=97865&pcid=69883,119.0,Banana Republic
99,https://www4.assets-gap.com/webcontent/0016/784/184/cn16784184.jpg,"Mid-Rise 3"" Denim Short",https://bananarepublic.gap.com/browse/product.do?pid=425433042&cid=1128989&pcid=1128985,69.5,Banana Republic
100,https://www1.assets-gap.com/webcontent/0016/293/051/cn16293051.jpg,Devon Legging-Fit Houndstooth Pant,https://bananarepublic.gap.com/browse/product.do?pid=425647002&cid=1130708&pcid=67595,98.5,Banana Republic
101,https://www1.assets-gap.com/webcontent/0016/936/442/cn16936442.jpg,Mid-Rise Straight Ankle Jean,https://bananarepublic.gap.com/browse/product.do?pid=425422012&cid=1128989&pcid=1128985,98.5,Banana Republic
102,https://www4.assets-gap.com/webcontent/0016/657/367/cn16657367.jpg,Logan Trouser-Fit Pant,https://bananarepublic.gap.com/browse/product.do?pid=798019042&cid=1130708&pcid=67595,98.5,Banana Republic
103,https://www2.assets-gap.com/webcontent/0016/650/700/cn16650700.jpg,Knit Tank Dress,https://bananarepublic.gap.com/browse/product.do?pid=426806002&cid=1130704&pcid=69883,119.0,Banana Republic
104,https://www2.assets-gap.com/webcontent/0016/870/159/cn16870159.jpg,Linen-Cotton Ruffle Wrap Dress,https://bananarepublic.gap.com/browse/product.do?pid=444288002&cid=97865&pcid=69883,119.0,Banana Republic
105,https://www3.assets-gap.com/webcontent/0016/850/718/cn16850718.jpg,Knit Dress,https://bananarepublic.gap.com/browse/product.do?pid=426659002&cid=1128991&pcid=1128985,119.0,Banana Republic
106,https://www1.assets-gap.com/webcontent/0016/870/047/cn16870047.jpg,Floral Shirt Dress,https://bananarepublic.gap.com/browse/product.do?pid=426240002&cid=97865&pcid=69883,139.0,Banana Republic
107,https://www2.assets-gap.com/webcontent/0016/667/064/cn16667064.jpg,Silk Cotton Graphic Sweater,https://bananarepublic.gap.com/browse/product.do?pid=425986012&cid=1130713&pcid=5032,139.0,Banana Republic
