prod_page_link,image_link,name,price,description,brand
https://www2.hm.com/en_us/productpage.0721744006.html,"http://lp2.hm.com/hmgoepprod?set=source[/5f/b5/5fb53c00774f849bf0407857402c66ace709e3d3.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",V-neck Viscose Dress,17.99,"Short, V-neck dress in airy, woven viscose fabric. Buttons at front, short sleeves with ruffles at cuffs, and tapered waist. Gently flared skirt.",H&M
https://www2.hm.com/en_us/productpage.0713782002.html,"http://lp2.hm.com/hmgoepprod?set=source[/cc/14/cc1414e7817f7e020444cda67fa42ea2514ee55c.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Ribbed Jersey Dress,17.99,"Short, fitted dress in ribbed jersey with a round neckline and short sleeves.",H&M
https://www2.hm.com/en_us/productpage.0790101002.html,"http://lp2.hm.com/hmgoepprod?set=source[/65/ce/65cefb3f36e226b4a802a6811b4fc1755d4b6275.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Fitted Jersey Dress,12.99,"Short, fitted dress in thick cotton jersey with shoulder straps and a gathered seam at top.",H&M
https://www2.hm.com/en_us/productpage.0710397001.html,"http://lp2.hm.com/hmgoepprod?set=source[/e8/03/e8030dec8e486e23f97fd5023541f30555f82aee.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Mock-turtleneck Dress,17.99,Short dress in ribbed jersey with a mock turtleneck and long sleeves.,H&M
https://www2.hm.com/en_us/productpage.0706654001.html,"http://lp2.hm.com/hmgoepprod?set=source[/e0/e1/e0e11d9b6e251fc6d22edbf86bfa0c355a107f9f.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",V-neck Dress,17.99,Short dress in woven viscose fabric with a V-neck and short sleeves. Unlined.,H&M
https://www2.hm.com/en_us/productpage.0759070007.html,"http://lp2.hm.com/hmgoepprod?set=source[/2f/e4/2fe458f470a1d1b4104437ade6e93fb78ea78c99.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",V-neck Wrap Dress,69.99,Long dress in airy chiffon with a printed pattern. V-neck and wrapover front with ties at one side. Long sleeves and narrow cuffs with button and pleated ruffle trim. Pleated skirt. Partly lined.,H&M
https://www2.hm.com/en_us/productpage.0717727002.html,"http://lp2.hm.com/hmgoepprod?set=source[/94/a4/94a4f757f2e54e2abc450ff33190964f5da751e3.jpg],origin[dam],category[ladies_dresses_maxidresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Crêped Maxi Dress,24.99,"Long dress in woven, crêped fabric. V-neck, narrow shoulder straps, and gathered, elasticized seam at waist. Straight-cut skirt with high slits at sides. Unlined.",H&M
https://www2.hm.com/en_us/productpage.0693612004.html,"http://lp2.hm.com/hmgoepprod?set=source[/f6/5c/f65cd36903334ae3e1962b77f165214b4c30d8aa.jpg],origin[dam],category[ladies_dresses_mididresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Calf-length Dress,29.99,"Sleeveless, calf-length dress in airy woven fabric. Narrow cut at top with short, narrow shoulder straps. Narrow, elasticized seam at waist with a removable tie belt. Lined.",H&M
https://www2.hm.com/en_us/productpage.0670946001.html,"http://lp2.hm.com/hmgoepprod?set=source[/2f/ca/2fca382ca76e45f845ee11e69367c4e6229b29c2.jpg],origin[dam],category[ladies_dresses_shortdresses],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main] ",Cotton Dress with Embroidery,29.99,Short dress in woven cotton fabric with an embroidered pattern. Narrow tie-top shoulder straps and short puff sleeves with concealed elastication. Eyelet embroidery and scalloped trim at hem. Unlined.,H&M
https://www2.hm.com/en_us/productpage.0708098002.html,"http://lp2.hm.com/hmgoepprod?set=source[/91/3b/913b9cdd574257b8924c897ba015c501992a3efb.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Ribbed Dress,24.99,"Short dress in ribbed jersey with a round neckline, long sleeves, and a straight-cut hem.",H&M
https://www2.hm.com/en_us/productpage.0570900003.html,"http://lp2.hm.com/hmgoepprod?set=source[/cc/ab/ccaba7eec59b8a97b444d6cda68a02e91c16893c.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",T-shirt Dress with Studs,34.99,"Short jersey T-shirt dress in a soft modal blend. Studs at neckline and cuffs. Rounded hem, slightly longer at back.",H&M
https://www2.hm.com/en_us/productpage.0714718002.html,"http://lp2.hm.com/hmgoepprod?set=source[/a2/04/a204e2611a6099a01dd0d14795f1f5aff60e6663.jpg],origin[dam],category[ladies_dresses_shortdresses],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main] ",Wrap Dress with Flounces,24.99,"Short, flounced dress in soft, woven viscose fabric with a wrapover front. Long-sleeves, seam at waist, and a tie at side. Unlined.",H&M
